Performance,All trades,Long trades,Short trades,
Total net profit,$606578.00,$284852.50,$321725.50,
Gross profit,$1469102.50,$715175.50,$753927.00,
Gross loss,($862524.50),($430323.00),($432201.50),
Commission,$0.00,$0.00,$0.00,
Profit factor,1.70,1.66,1.74,
Max. drawdown,($53476.00),($40450.00),($43831.00),
Sharpe ratio,0.54,0.35,0.43,
Sortino ratio,1.63,0.70,1.41,
Ulcer index,0.01,0.01,0.01,
R squared,0.96,0.91,0.95,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.34%,1.20%,3.48%,
,,,,
Start date,1/1/2024,,,
Start time,12:00 AM,,,
End date,7/27/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,559,280,279,
Percent profitable,21.65%,22.14%,21.15%,
# of winning trades,121,62,59,
# of losing trades,438,218,220,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$1085.11,$1017.33,$1153.14,
Avg. winning trade,$12141.34,$11535.09,$12778.42,
Avg. losing trade,($1969.23),($1973.96),($1964.55),
Ratio avg. win / avg. loss,6.17,5.84,6.50,
,,,,
Max. consec. winners,4,3,3,
Max. consec. losers,20,17,19,
Largest winning trade,$45309.00,$36765.00,$45309.00,
Largest losing trade,($2162.00),($2090.00),($2162.00),
,,,,
Avg. # of trades per day,0.87,0.44,0.44,
Avg. time in market,105.14 min,111.60 min,98.67 min,
Avg. bars in trade,100.97,104.36,97.58,
Profit per month,$19979.08,$9382.29,$10735.92,
Max. time to recover,98.79 days,153.90 days,181.00 days,
Longest flat period,48.74 days,54.76 days,49.97 days,
,,,,
Avg. MAE,$1769.07,$1774.99,$1763.12,
Avg. MFE,$5743.23,$5422.43,$6065.17,
Avg. ETD,$4658.11,$4405.10,$4912.03,
